OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
7985,2025/07/10,27682.,A,WI,ETB,WEST BEND MUNI,WEST BEND,US,PU,PU,13/31,43.42536377,-88.13469552,43.41804261,-88.1210863,4494,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2022/06/12,15,,,,59378.99609375,3833.51947471635
7986,2025/07/10,27698.,A,WI,5Y3,GUTZMER'S TWIN OAKS,WHITEWATER,US,PR,PU,18/36,42.85701561,-88.75981705,42.85009241,-88.75980447,2524,140,TURF,GOOD,NONE,,,,,,NSTD,OWNER,2025/02/18,,,,,61098.3125,2218.79667001498
7987,2025/07/10,27704.,A,WI,W23,WILD ROSE IDLEWILD,WILD ROSE,US,PU,PU,09/27,44.19803055,-89.22287222,44.19720277,-89.21153055,2990,100,TURF,FAIR,NONE,,,,,,LOW,,,,,,,54050.37890625,2623.32936055845
7988,2025/07/10,27704.,A,WI,W23,WILD ROSE IDLEWILD,WILD ROSE,US,PU,PU,18/36,44.20212222,-89.21706388,44.197475,-89.21733888,1695,100,TURF,FAIR,NONE,,,,,,,,,,,,,30657.20703125,1529.39627590627
7989,2025/07/10,27712.2,A,WI,ISW,ALEXANDER FLD SOUTH WOOD COUNTY,WISCONSIN RAPIDS,US,PU,PU,02/20,44.35335286,-89.84184294,44.36754661,-89.8347255,5500,100,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2009/10/08,40,60,,,99963.5,4780.59807932685
7990,2025/07/10,27712.2,A,WI,ISW,ALEXANDER FLD SOUTH WOOD COUNTY,WISCONSIN RAPIDS,US,PU,PU,12/30,44.36312372,-89.84418388,44.35896388,-89.83225277,3470,60,ASPH,EXCELLENT,NONE,,,,,,MED,STATE,2019/03/11,12,20,,,37841.453125,3006.5763852936
7991,2025/07/10,27712.2,A,WI,ISW,ALEXANDER FLD SOUTH WOOD COUNTY,WISCONSIN RAPIDS,US,PU,PU,18/36,44.36178333,-89.84272777,44.35611666,-89.84210833,2072,50,TURF,FAIR,NONE,,,,,,,ADO,2019/03/11,,,,,18833.20703125,1812.51365697732
7992,2025/07/10,27732.,A,WY,AFO,AFTON LINCOLN COUNTY/GENERAL BOYD L EDDINS FLD,AFTON,US,PU,PU,16/34,42.71840525,-110.9421375,42.6991358,-110.94220491,7025,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2019/12/31,24,,,,90677.27734375,5900.55909757234
7993,2025/07/10,27733.12,A,WY,46U,ALPINE,ALPINE,US,PR,PU,13/31,43.18811647,-111.04520227,43.17549125,-111.03181075,5827,70,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2017/06/30,50,,,,71279.890625,4931.76809148285
7994,2025/07/10,27735.56,A,WY,WY08,SUNDANCE RANCH,ALTA,US,PR,PR,10/28,43.72694444,-111.03638888,43.72666666,-111.03083333,1472,45,TURF,,NONE,,,,,,,OWNER,2021/07/22,,,,,11788.56640625,1277.871848131
7995,2025/07/10,27741.,A,WY,BPI,MILEY MEML FLD,BIG PINEY,US,PU,PU,08/26,42.57665116,-110.11028991,42.57610466,-110.09805991,3301,60,TURF-DIRT,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2011/11/11,,,,,33944.98828125,2777.65828809514
7996,2025/07/10,27741.,A,WY,BPI,MILEY MEML FLD,BIG PINEY,US,PU,PU,13/31,42.59295544,-110.11790016,42.57718419,-110.10440619,6803,75,ASPH,GOOD,NONE,31,F,A,X,T,MED,3RD PARTY SURVEY,2015/06/03,45,60,,,87457.1640625,5698.48105629723
7997,2025/07/10,27741.02,A,WY,WY19,FISH CREEK RANCH,BIG PINEY,US,PR,PR,11/29,42.54555555,-110.39888888,42.5425,-110.39305555,1926,30,TURF,,NONE,,,,,,,OWNER,2020/06/23,,,,,9897.5703125,1618.35188009354
7998,2025/07/10,27747.,A,WY,BYG,JOHNSON COUNTY,BUFFALO,US,PU,PU,13/31,44.38735344,-106.72964866,44.37482602,-106.71394641,6143,75,ASPH,GOOD,NONE,24,F,D,X,T,MED,3RD PARTY SURVEY,2012/09/25,12.5,,,,83782.05078125,5303.29914777459
7999,2025/07/10,27750.55,A,WY,WY02,MORRISON,CARPENTER,US,PR,PR,13/31,41.07511111,-104.41308333,41.07166666,-104.40872222,1738,100,TURF-DIRT,,NONE,,,,,,,,,,,,,28439.1875,1487.14348464985
8000,2025/07/10,27754.,A,WY,CPR,CASPER/NATRONA COUNTY INTL,CASPER,US,PU,PU,03/21,42.89340238,-106.47503094,42.91349494,-106.44873238,10165,150,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2013/09/05,120,250,550,1120,264078.9375,8585.2004970069
8001,2025/07/10,27754.,A,WY,CPR,CASPER/NATRONA COUNTY INTL,CASPER,US,PU,PU,08/26,42.90848486,-106.48190552,42.90894372,-106.44952583,8679,150,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2013/09/05,120,250,416,946,225503.10546875,7335.43070957997
8002,2025/07/10,27759.,A,WY,CYS,CHEYENNE RGNL/JERRY OLSON FLD,CHEYENNE,US,PU,PU,09/27,41.15676333,-104.82115227,41.15441347,-104.78764458,9270,150,CONC,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2013/05/24,116,212,379,871,228012.20703125,7614.13787644972
8003,2025/07/10,27759.,A,WY,CYS,CHEYENNE RGNL/JERRY OLSON FLD,CHEYENNE,US,PU,PU,13/31,41.16221575,-104.82742736,41.14917347,-104.81033905,6690,150,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2013/05/24,75,120,150,200,164551.1953125,5538.85177846591
8004,2025/07/10,27760.0,A,WY,WY46,RADIO RANCH,CHEYENNE,US,PR,PR,08/26,41.07252777,-104.829,41.07302777,-104.82230555,1855,50,TURF,,NONE,,,,,,,OWNER,2020/07/22,,,,,15174.2890625,1538.2682319364
8005,2025/07/10,27765.,A,WY,COD,YELLOWSTONE RGNL,CODY,US,PU,PU,04/22,44.51326347,-109.03635047,44.52712386,-109.01127211,8268,100,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2015/05/05,95,124,193,,151071.96484375,7149.95701877853
8006,2025/07/10,27765.04,A,WY,2WY8,BAR FLYING E,CODY,US,PR,PR,01/19,44.40444444,-109.28,44.40805555,-109.27888888,1350,100,TURF,FAIR,NONE,,,,,,,OWNER,2021/03/24,,,,,24544.40234375,1237.46193662781
8007,2025/07/10,27768.,A,WY,U68,NORTH BIG HORN COUNTY,COWLEY/LOVELL/BYRON,US,PU,PU,09/27,44.91402272,-108.45345341,44.91014613,-108.43414038,5200,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2012/07/30,12.5,,,,72236.7578125,4533.86141245053
8008,2025/07/10,27768.,A,WY,U68,NORTH BIG HORN COUNTY,COWLEY/LOVELL/BYRON,US,PU,PU,16/34,44.91304305,-108.45083163,44.90798333,-108.449747,1866,65,DIRT,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2012/07/30,,,,,22467.65234375,1664.70277191259
8009,2025/07/10,27771.,A,WY,DWX,DIXON,DIXON,US,PU,PU,06/24,41.03430741,-107.50451797,41.04057413,-107.48053691,7000,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2019/08/21,24.5,,,,85793.49609375,5711.19377048895
8010,2025/07/10,27772.5,A,WY,DGW,CONVERSE COUNTY,DOUGLAS,US,PU,PU,05/23,42.79811375,-105.39856044,42.80324938,-105.38225788,4760,75,GRVL-DIRT,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2008/04/16,12.5,,,,61626.390625,4012.38523669782
8011,2025/07/10,27772.5,A,WY,DGW,CONVERSE COUNTY,DOUGLAS,US,PU,PU,11/29,42.79881963,-105.39324638,42.7904453,-105.37173027,6534,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2008/04/16,,,,,112762.49609375,5505.64320114463
8012,2025/07/10,27777.1,A,WY,DUB,DUBOIS MUNI,DUBOIS,US,PU,PU,11/29,43.55238888,-109.70236666,43.54491388,-109.67928888,6700,75,ASPH,GOOD,NONE,8,F,C,Y,T,MED,3RD PARTY SURVEY,2010/06/30,24,,,,88870.69921875,5690.90944426521
8013,2025/07/10,27781.21,A,WY,33WY,SKIDMO,ETNA,US,PR,PR,18/36,43.04774444,-110.99121111,43.04410833,-110.99126111,1325,400,DIRT,,NONE,,,,,,,OWNER,2022/03/22,,,,,92261.9921875,1440.92929820539
8014,2025/07/10,27781.3,A,WY,EVW,EVANSTON-UINTA COUNTY BURNS FLD,EVANSTON,US,PU,PU,05/23,41.27083955,-111.04682711,41.27874055,-111.02243244,7300,100,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2005/08/23,73,93,148,,120135.3828125,5995.32885749304
8015,2025/07/10,27786.,A,WY,FBR,FORT BRIDGER,FORT BRIDGER,US,PU,PU,04/22,41.38682763,-110.41628966,41.39704719,-110.39731172,6404,75,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2015/12/15,12.5,20,20,,79324.73828125,5262.05211286335
8016,2025/07/10,27786.,A,WY,FBR,FORT BRIDGER,FORT BRIDGER,US,PU,PU,07/25,41.39490022,-110.41078738,41.39677711,-110.39820769,3520,50,TURF-DIRT,FAIR,NONE,,,,,,,3RD PARTY SURVEY,2015/12/15,,,,,29069.7421875,2896.30728094746
8017,2025/07/10,27787.35,A,WY,WY53,MOBURG AERO,FOUR CORNERS,US,PR,PR,01/19,44.07888888,-104.13305555,44.08694444,-104.13111111,2980,100,TURF,,NONE,,,,,,NSTD,OWNER,2023/10/26,,,,,53678.703125,2618.7120966233
8018,2025/07/10,27789.,A,WY,GCC,NORTHEAST WYOMING RGNL,GILLETTE,US,PU,PU,03/21,44.34525022,-105.54370783,44.35773572,-105.52995175,5804,75,CONC,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2018/01/10,40,60,,,79081.484375,5012.83942025282
8019,2025/07/10,27789.,A,WY,GCC,NORTHEAST WYOMING RGNL,GILLETTE,US,PU,PU,16/34,44.35702616,-105.54390213,44.33678983,-105.5387598,7501,150,CONC,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2018/01/10,70,110,160,,204381.94921875,6531.04106452108
8020,2025/07/10,27793.5,A,WY,76V,THOMAS MEML,GLENDO,US,PU,PU,16/34,42.52599538,-105.02126163,42.51406927,-105.0187678,4397,70,TURF-DIRT,FAIR,NONE,,,,,,,,,,,,,52682.984375,3702.88326365536
8021,2025/07/10,27801.1,A,WY,48U,GTR GREEN RIVER INTERGALACTIC SPACEPORT,GREEN RIVER,US,PU,PU,04/22,41.45348055,-109.49861944,41.46243055,-109.48177777,5652,75,DIRT,GOOD,NONE,,,,,,,OWNER,2020/10/21,,,,,70178.1640625,4657.68083509836
8022,2025/07/10,27804.,A,WY,GEY,SOUTH BIG HORN COUNTY,GREYBULL,US,PU,PU,08/26,44.51341869,-108.09787977,44.51409744,-108.08275991,3953,75,ASPH,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2012/06/05,12.5,,,,54160.15625,3437.16317053324
8023,2025/07/10,27804.,A,WY,GEY,SOUTH BIG HORN COUNTY,GREYBULL,US,PU,PU,16/34,44.52976563,-108.08133358,44.51088397,-108.07642425,7003,150,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2012/06/05,85,150,290,,191958.921875,6124.41665391927
